time,solution
0.685957,616002
0.771636,615427
1.147577,615158
1.739012,614766
2.254003,613648
3.20201,613349
4.470208,612747
5.210794,612317
6.433592,611943
7.683161,611941
9.097923,611738
10.434616,611452
11.896654,608689
12.937584000000001,608090
251.422064,607458
252.758958,607435
253.983916,607049
255.252725,606774
256.45064799999994,606353
257.66139799999996,605313
258.96280399999995,605220
260.241542,604775
261.831846,604534
263.547893,604510
265.52831399999997,604502
276.68753999999996,603970
277.099521,603431
277.58059499999996,603260
278.240814,603043
279.622932,602728
280.96871,602422
282.52462199999997,602126
284.72387,602089
285.60407599999996,601871
287.283326,601814
288.97905199999997,601350
290.76437999999996,601221
292.15554899999995,601018
293.58587,600991
295.071652,600951
296.790866,600471
298.297672,600089
300.09952,600030
301.734445,599666
303.483182,599609
305.480963,599604
307.286496,599522
309.33977,599476
311.201891,599469
313.240184,599420
